feature,auc_mean,auc_std,acc_mean,bal_acc_mean,logloss_mean,brier_mean,ic_spearman_mean,ic_spearman_std,n_windows,avg_n_assets_train,avg_n_assets_test,avg_n_obs_train,avg_n_obs_test
vol_120d,0.5088365352706854,0.0403210302098718,0.5069826872547961,0.5069845521622409,0.693325508729446,0.2500879408931728,0.015305354060928757,0.06983805210127796,162,98.0,98.0,24696.0,2058.0
vol_20d,0.5085735624678677,0.03489395646241817,0.5047541062280291,0.5047609755520563,0.6933922995238656,0.2501179845065702,0.014942095876440211,0.0606141391955351,162,98.0,98.0,24696.0,2058.0
vol_60d,0.5081234750483196,0.03824857264913332,0.5054289793518818,0.5054336758072435,0.6934180254749568,0.25013379185404905,0.014157689611058942,0.0664445628585333,162,98.0,98.0,24696.0,2058.0
vol_5d,0.5067587797725002,0.02549832219345554,0.5039172635544518,0.5039268555398846,0.6932194110736201,0.25003442829287553,0.011706548076678328,0.044164394943316754,162,98.0,98.0,24696.0,2058.0
vol_10d,0.5063632350206004,0.031276883227429574,0.5021685923046467,0.5021779291204301,0.6933348335174232,0.25008966365981083,0.011021452860374599,0.05417315477468665,162,98.0,98.0,24696.0,2058.0
dist_from_ma_60d,0.5056805881743781,0.036297576124628986,0.5011727795174508,0.5011892864507954,0.6933501988617746,0.2500977730468115,0.010024721455712345,0.06344491722065024,162,98.0,98.0,24696.0,2058.0
return_60d,0.504973154291616,0.03998577818202155,0.5020426159881942,0.5020561900287636,0.6933385105512689,0.25009457800776974,0.008667284926845733,0.06946879077441408,162,98.0,98.0,24696.0,2058.0
risk_adj_return_20d,0.5041079286636302,0.031017611356702855,0.5042442020900071,0.5042607462329951,0.6931964491691811,0.2500245760595578,0.007159326733181064,0.053887733503785645,162,98.0,98.0,24696.0,2058.0
risk_adj_return_5d,0.5039876704084316,0.019271702427413964,0.5027594812175311,0.5027752198995082,0.6931214264265737,0.24998701750777372,0.0069497430325774125,0.03347862114015083,162,98.0,98.0,24696.0,2058.0
dist_from_ma_120d,0.5039477753737156,0.03996699417209499,0.5006328810183686,0.5006462350421177,0.6933672956926733,0.2501077233958138,0.0069667894023005906,0.0698684222850578,162,98.0,98.0,24696.0,2058.0
dist_from_ma_20d,0.5037828309829537,0.0277678427904377,0.5012927569616911,0.5013105189881548,0.6932340947096908,0.2500421178834512,0.006552043713230671,0.048095312674007795,162,98.0,98.0,24696.0,2058.0
return_20d,0.5036064228701046,0.03360327870577452,0.5028254688118634,0.5028097597978767,0.6932814237578449,0.250065718736699,0.006285317756410078,0.05838097086100966,162,98.0,98.0,24696.0,2058.0
risk_adj_return_10d,0.5034565310657882,0.02355451350728726,0.5028824580978776,0.5029001836003025,0.6931489830626061,0.25000088432154555,0.006024063505032802,0.04092138101020075,162,98.0,98.0,24696.0,2058.0
ma_5d,0.5032219445143133,0.036087532918995344,0.500470911468644,0.5004585064466246,0.6930570005290849,0.24994330342985593,0.0055805881181732395,0.062505435700856,162,98.0,98.0,24696.0,2058.0
ma_20d,0.5032169565630698,0.036077106517081965,0.500749859026503,0.5007376160565327,0.6930697066653544,0.24994871359616216,0.005571949186078392,0.0624873755428044,162,98.0,98.0,24696.0,2058.0
ma_10d,0.5032144004188915,0.03607856969252824,0.5005908889128844,0.5005784838908649,0.6930612590485282,0.24994497405442254,0.005567521624169718,0.06248991027114712,162,98.0,98.0,24696.0,2058.0
return_10d,0.5031013292057414,0.024108600215578032,0.5003239390994493,0.5003407660232628,0.6931927290259214,0.2500225467316226,0.005405012286764882,0.04188464448461953,162,98.0,98.0,24696.0,2058.0
return_120d,0.5030778630804056,0.04101827376263842,0.5033533695665214,0.503362050632456,0.6933563467143019,0.2501041402741429,0.005331034774058433,0.07104572692134589,162,98.0,98.0,24696.0,2058.0
vol_chg_60d,0.5027571061601053,0.019082128997685324,0.5023095658016293,0.5023044598532055,0.693210419018628,0.2500285739229242,0.004927545360210994,0.033562212247487754,162,98.0,98.0,24696.0,2058.0
cs_z_return_20d,0.5026184634012454,0.03581769353733863,0.5018896447467877,0.5018916459649367,0.6932529107582651,0.25005267718826985,0.004591986217010233,0.06242250870526337,162,98.0,98.0,24696.0,2058.0
ma_60d,0.5023723441824749,0.036365412824557124,0.49972705131435285,0.49971492633073966,0.6930862364746996,0.24995685115276664,0.0041345607231340386,0.06318120820654761,162,98.0,98.0,24696.0,2058.0
ma_120d,0.5023014132082193,0.03643556178586307,0.5011247885397545,0.5011126635561414,0.6930957539017508,0.24996100434303675,0.0039861849328154,0.06310823275702004,162,98.0,98.0,24696.0,2058.0
dist_from_ma_10d,0.5021764554456635,0.02148063109698142,0.5000029994361059,0.5000200297352408,0.6931761582858075,0.2500142809992278,0.0037697253834681854,0.03720554629398795,162,98.0,98.0,24696.0,2058.0
return_5d,0.5016861595749649,0.019567570423436903,0.5008368426735773,0.5008516206985428,0.693167243828437,0.2500099289835776,0.0029386479946164053,0.0339963356388641,162,98.0,98.0,24696.0,2058.0
dist_from_ma_5d,0.5002262424323324,0.017429054946522547,0.4998020372170033,0.49981457393747625,0.6931695689341578,0.2500111510449835,0.0003942980191470643,0.030281602831960706,162,98.0,98.0,24696.0,2058.0
vol_chg_20d,0.49998876887529986,0.01677747685413745,0.4997990377808971,0.49976604398373103,0.6931865011992645,0.2500195800401107,-2.007239940340663e-05,0.02951854894858226,162,98.0,98.0,24696.0,2058.0
risk_adj_return_120d,0.4997657730610789,0.04052907501886326,0.49966106372002067,0.4996690813074701,0.6933488872866015,0.2501007961582553,-0.0004185976815100091,0.07130742687053115,162,98.0,98.0,24696.0,2058.0
vol_chg_120d,0.49974440300207107,0.021939918194840036,0.4999730050750458,0.4999665833263123,0.6932114273202032,0.2500301462852089,-0.0004482325642562549,0.0382377891199847,162,98.0,98.0,24696.0,2058.0
vol_chg_5d,0.4997000237402946,0.01190464732492504,0.5003179402272373,0.5003096950813145,0.6931699395556395,0.2500112423062998,-0.0005327222646914013,0.020878658911744476,162,98.0,98.0,24696.0,2058.0
risk_adj_return_60d,0.4987534171367338,0.039138599567218726,0.4989561962351078,0.49897034406458585,0.6933715257495033,0.2501119882874373,-0.0021725348408260063,0.0680000212334122,162,98.0,98.0,24696.0,2058.0
vol_chg_10d,0.4976234207271038,0.014918304540122893,0.49789439585357953,0.49788560864355297,0.6931804595192657,0.25001623349934826,-0.004194023788584704,0.026075646709555048,162,98.0,98.0,24696.0,2058.0
